deployment_id,organization,industry,use_case,deployment_or_rollout,source_type,evidence_tier,follow_up_duration,status,key_outcome_summary,source_reference
D001,Cleveland Clinic,Healthcare,Ambient AI scribe,2024 pilot and 2025 rollout,News/Sourced reporting,Silver,15 weeks to about 1 year,Survived,"4,000 clinicians active within first 15 weeks; over one million encounters documented by August 2025; reduced documentation time reported",Business Insider reporting
D002,Kaiser Permanente,Healthcare,Ambient AI documentation,2024-2025 systemwide availability,Study/news summary,Gold/Silver,30 days to systemwide reporting,Survived,"More than 7,000 physicians in reported study base; improved communication and satisfaction; time savings reported",Reuters/Washington Post summaries and related study reporting
D003,Kaiser Permanente Northern California,Healthcare,Preventable readmission targeting,Published 2020,Preprint/research,Silver,Before-after intervention period,Unknown,"Causal targeting approach estimated to prevent nearly four times as many readmissions as conventional risk targeting",arXiv 2005.14409
D004,Johns Hopkins Medicine,Healthcare,Digital twin for ventricular tachycardia ablation,2026 pilot trial,News/clinical study summary,Silver,1 year,Survived,"8 of 10 treated patients had no recurrent arrhythmia over one year",AP/NEJM study summary
D005,Johns Hopkins Health System,Healthcare,Fall-risk assessment recalibration,2022-2023 data; 2026 publication,Preprint/research,Silver,About 19 months,Recalibrated,"AUC improved from 0.86 to 0.91 after data-driven optimization",arXiv 2601.05194
D006,Mass General Brigham,Healthcare,Ambient AI documentation pilot,2025 surfaced publicly,News/study summary,Silver,6 weeks to survey follow-up,Survived,"Burnout reduction reported; broader efficiency and financial gains unclear",TIME/Axios/JAMA-related reporting
D007,Mass General Brigham,Healthcare,irAE-Agent for immune-related adverse event detection,2025 field guide,Preprint/field guide,Bronze,Not clearly stated,Unknown,"Qualitative implementation evidence; source emphasized sociotechnical implementation burden",arXiv 2509.26153
D008,Amazon,Logistics/Robotics,Robin pick-success predictor,Production system reported 2023,Research/preprint,Gold,Production evaluation period,Survived,"Trained on 394,000+ picks; used in large-scale package manipulation; outperformed heuristic alternatives",arXiv 2305.10272
D009,Amazon,Logistics/Robotics,Package picking optimization,2025 publication,Research/preprint,Gold,Evaluation on 2M+ picks,Recalibrated,"Reduced pick-failure rates by 20 percent versus heuristic baseline",arXiv 2506.09765
D010,Amazon,Technology/Retail,Recommendation system causal impact,9-month browsing-log analysis,Research/preprint,Gold,9 months,Survived,"Estimated incremental value of recommendations; at least 75 percent of observed activity may have occurred without recommendations",arXiv 1510.05569
D011,Netflix,Technology/Media,Personalized recommendation system,2025 production-data paper,Research/preprint,Gold,Not stated as calendar horizon,Survived,"Replacing production recommender with weaker systems estimated to reduce engagement by 4 to 12 percent",arXiv 2511.07280
D012,Netflix,Technology/Media,Surrogate-index experiment decision framework,Paper based on 200 A/B tests,Research/preprint,Gold,63 days,Survived,"14-day surrogate-index decisions about 95 percent consistent with 63-day direct treatment-effect decisions",arXiv 2311.11922
D013,JPMorgan Chase,Banking,AI coding assistant,Reported 2025,News/company reporting,Silver,Ongoing enterprise use,Survived,"Tens of thousands of engineers reportedly delivered products 10 to 20 percent faster",Reuters
D014,JPMorgan Chase,Banking,LLM Suite enterprise assistant,2024 rollout,News/company reporting,Silver,Several months of scale-up,Survived,"Reported expansion from about 50,000 to 200,000 employees",Reuters/Business Insider
D015,JPMorgan Chase,Banking,Cash Flow Intelligence,Launched 2023,News/company reporting,Silver,About 1 year early uptake,Survived,"About 2,500 clients; manual work reduced by nearly 90 percent for some workflows",NY Post/industry reporting
D016,UPS / Happy Returns,Logistics/Retail,Return Vision fraud detection,2025 pilot,News/company reporting,Silver,Holiday-season pilot,Survived,"Less than 1 percent flagged as high-probability fraud; about 10 percent of flagged items confirmed as fraud",Reuters
D017,Large seven-hospital US network,Healthcare,Daily inpatient outcome prediction,Published 2023,Research/preprint,Gold,Operational evaluation,Survived,"More than 200 staff used the tool; LOS fell by 0.67 days; estimated annual financial benefit $55M-$72M",arXiv 2305.15629
D018,Stanford Health Care,Healthcare,SmartAlert inpatient lab utilization CDS,Published 2025,Research/preprint,Gold,Randomized pilot,Survived,"Repetitive CBC testing dropped by 15 percent without worsening secondary safety outcomes",arXiv 2512.04354
D019,Penda Health,Healthcare,LLM clinical decision support safety net,Published 2025,Research/preprint,Gold,39,849 visits across 15 clinics,Survived,"Clinicians with access made 16 percent fewer diagnostic errors and 13 percent fewer treatment errors",arXiv 2507.16947
D020,Alberta Health Services,Healthcare,Berta open-source AI scribe,Published 2026,Research/preprint,Gold,8 months,Survived,"198 emergency physicians across 105 sites generated 22,148 sessions; expansion approved",arXiv 2603.23513
D021,Included Health,Healthcare,Custom-built ambient scribe,Published 2025,Research/preprint,Gold,Survey follow-up,Survived,"More than 540 clinicians used it at least once; 94 percent reported lower cognitive load",arXiv 2507.17754
