observation_id,deployment_id,metric_family,metric_name,metric_value,metric_unit,timepoint,notes
O001,D001,Adoption,Clinicians active,4000,clinicians,15 weeks,"Voluntary clinician adoption after rollout"
O002,D001,Workflow,Encounters documented,1000000,encounters,By August 2025,"Reported cumulative encounters documented"
O003,D001,Workflow,Documentation time reduction,2,minutes per appointment,Rollout reporting,"Approximate reduction in documentation review/writing time"
O004,D001,Workflow,Daily documentation time reduction,14,minutes per day,Rollout reporting,"Approximate daily time savings"
O005,D002,Adoption,Physicians in reported study base,7000,physicians,Reported study window,"Kaiser ambient documentation study base"
O006,D002,Human experience,Improved patient communication,84,percent,Reported follow-up,"Physician-reported improvement"
O007,D002,Human experience,Improved work satisfaction,82,percent,Reported follow-up,"Physician-reported improvement"
O008,D002,Workflow,Reduced note-taking time,20,percent,Systemwide reporting,"Public summary estimate"
O009,D002,Workflow,Reduced after-hours work,30,percent,Systemwide reporting,"Public summary estimate"
O010,D003,Clinical,Preventable readmission improvement,4,times,Study estimate,"Causal targeting versus conventional risk targeting"
O011,D004,Clinical,No recurrent arrhythmia,8,patients out of 10,1 year,"Small pilot trial"
O012,D005,Technical,AUC before recalibration,0.86,AUC,2022-2023 data,"Original fall-risk scoring performance"
O013,D005,Technical,AUC after recalibration,0.91,AUC,2022-2023 data,"Optimized data-driven fall-risk score"
O014,D005,Clinical,Additional protected high-risk patients,35,patients per week,Estimated,"Authors' estimate across health system"
O015,D006,Human experience,Burnout reduction,31,percent,Survey follow-up,"JAMA-associated reporting"
O016,D006,Human experience,Burnout reduction in pilot,40,percent,6-week pilot,"PHTI/Axios summary"
O017,D008,Technical,Training data,394000,picks,Production research,"More than 394,000 picks used"
O018,D008,Workflow,Packages manipulated,200000000,packages,Evaluation period,"Large-scale production manipulation evidence"
O019,D009,Workflow,Pick failure reduction,20,percent,Evaluation on 2M+ picks,"Compared with heuristic baseline"
O020,D010,Adoption,Users analyzed,2100000,users,9 months,"Browsing-log analysis"
O021,D010,Value,Activity likely non-incremental,75,percent,9 months,"Counterfactual estimate of recommendation value"
O022,D011,Value,Engagement reduction under matrix factorization,4,percent,Production-data analysis,"Estimated loss if production recommender replaced"
O023,D011,Value,Engagement reduction under popularity ranking,12,percent,Production-data analysis,"Estimated loss if production recommender replaced"
O024,D012,Technical,Experiment arms analyzed,1098,test arms,200 A/B tests,"Netflix surrogate-index paper"
O025,D012,Decision quality,Decision consistency,95,percent,14 vs 63 days,"Surrogate-index decision consistency"
O026,D013,Productivity,Engineer efficiency improvement low,10,percent,Ongoing 2025,"Reuters-reported range"
O027,D013,Productivity,Engineer efficiency improvement high,20,percent,Ongoing 2025,"Reuters-reported range"
O028,D014,Adoption,LLM Suite users early,50000,employees,July 2024,"Reported employee adoption"
O029,D014,Adoption,LLM Suite users later,200000,employees,November 2024,"Reported scale-up"
O030,D015,Adoption,Clients using Cash Flow Intelligence,2500,clients,About 1 year,"Reported client uptake"
O031,D015,Workflow,Manual work reduction,90,percent,About 1 year,"For some cash-management workflows"
O032,D016,Detection,Fraud flag rate,1,percent,Holiday pilot,"Less than 1 percent flagged"
O033,D016,Detection,Confirmed fraud among flagged items,10,percent,Holiday pilot,"About 10 percent confirmed fraud"
O034,D016,Financial,Average fraud value,261,dollars,Holiday pilot,"Average value of confirmed fraud"
O035,D017,Adoption,Users,200,staff,Operational evaluation,"Doctors nurses and case managers"
O036,D017,Workflow,Length of stay reduction,0.67,days per patient,Operational evaluation,"Reported LOS reduction"
O037,D017,Financial,Estimated annual benefit low,55000000,dollars annually,Operational evaluation,"Estimated financial benefit"
O038,D017,Financial,Estimated annual benefit high,72000000,dollars annually,Operational evaluation,"Estimated financial benefit"
O039,D018,Clinical,Admissions in randomized pilot,9270,admissions,Randomized pilot,"SmartAlert pilot population"
O040,D018,Workflow,Repetitive CBC reduction,15,percent,Randomized pilot,"Without worsening secondary safety outcomes"
O041,D019,Clinical,Visits studied,39849,visits,Real-world study,"15 clinics"
O042,D019,Clinical,Diagnostic error reduction,16,percent,Study period,"Clinicians with access"
O043,D019,Clinical,Treatment error reduction,13,percent,Study period,"Clinicians with access"
O044,D020,Adoption,Physicians,198,emergency physicians,8 months,"Across 105 sites"
O045,D020,Adoption,Sites,105,sites,8 months,"Emergency physician deployment"
O046,D020,Workflow,Sessions generated,22148,sessions,8 months,"Berta scribe sessions"
O047,D020,Adoption,Monthly usage initial,680,sessions per month,Month 1,"Reported growth"
O048,D020,Adoption,Monthly usage later,5530,sessions per month,Month 8,"Reported growth"
O049,D020,Financial,Operating cost,30,dollars per physician per month,8 months,"Cost stayed below this level"
O050,D021,Adoption,Clinicians used at least once,540,clinicians,Reported follow-up,"Custom ambient scribe"
O051,D021,Human experience,Lower cognitive load,94,percent,Survey follow-up,"Surveyed clinician response"
O052,D021,Human experience,Less documentation burden,97,percent,Survey follow-up,"Surveyed clinician response"
